username,post_id,upvotedAt,voteWeight,isSuperVote
allison67,post_1706,2026-04-11,3,false
jonathanschwartz,post_1507,2026-04-17,3,false
cartertammy,post_1105,2026-04-21,3,false
umendez,post_1104,2026-04-26,1,false
sandersnicole,post_1345,2026-04-03,1,true
belljeremiah,post_1293,2026-04-07,2,false
perezkelli,post_1790,2026-04-15,1,true
hunthelen,post_1267,2026-04-06,2,true
jamesandrews,post_492,2026-04-02,2,false
mreyes,post_136,2026-04-06,2,false
hfuller,post_1486,2026-04-15,3,false
zjames,post_1040,2026-04-26,2,true
stacey99,post_1534,2026-04-04,2,false
richard26,post_568,2026-04-13,3,false
keithmccarthy,post_535,2026-04-19,2,true
moralarry,post_569,2026-04-11,1,false
simpsonmadison,post_1323,2026-04-20,2,false
bboyd,post_491,2026-04-15,1,true
marysims,post_966,2026-04-26,2,false
millermitchell,post_1903,2026-04-15,2,true
riveradawn,post_483,2026-04-10,1,true
jlynch,post_1312,2026-04-27,1,false
mparrish,post_135,2026-04-16,2,false
martindouglas,post_1451,2026-04-07,1,true
hannahjones,post_1344,2026-04-21,1,true
cross,post_973,2026-04-01,1,false
johnstonjustin,post_1348,2026-04-19,2,true
whitemeagan,post_921,2026-04-24,3,true
pateladam,post_1862,2026-04-15,1,true
monicanguyen,post_1988,2026-04-08,3,true
bterry,post_1066,2026-04-16,1,false
robertarmstrong,post_308,2026-04-08,1,true
barrettamy,post_1844,2026-04-21,1,true
keithmccarthy,post_823,2026-04-12,1,false
jamesgreene,post_1564,2026-04-24,1,false
hickmanmaria,post_411,2026-04-24,2,true
qduncan,post_1717,2026-04-06,1,false
fhuffman,post_228,2026-04-23,3,false
michael12,post_960,2026-04-22,2,true
lori51,post_662,2026-04-07,1,true
beasleyrobert,post_249,2026-04-24,3,true
william84,post_626,2026-04-18,1,true
denniskenneth,post_132,2026-04-10,2,true
foxlarry,post_1642,2026-04-01,3,true
morrisdanielle,post_1756,2026-04-12,1,false
lmcdaniel,post_897,2026-04-21,1,false
megangonzalez,post_886,2026-04-19,3,true
ashley87,post_134,2026-04-07,1,true
stacey43,post_1827,2026-04-25,1,false
samuelperry,post_159,2026-04-16,2,false
sanchezmichael,post_751,2026-04-04,1,false
rachel22,post_993,2026-04-26,3,true
qcook,post_31,2026-04-03,1,false
bethconway,post_1286,2026-04-11,3,false
fullernancy,post_342,2026-04-07,1,true
melissa28,post_783,2026-04-15,2,true
campbellthomas,post_1678,2026-04-08,3,false
danielshort,post_695,2026-04-23,3,true
richardwatson,post_1256,2026-04-06,1,false
meyerkyle,post_1902,2026-04-18,2,true
unelson,post_631,2026-04-20,1,true
jason62,post_564,2026-04-05,3,false
gonzaleztammy,post_451,2026-04-26,2,false
jonesmark,post_1439,2026-04-13,1,true
jacob57,post_942,2026-04-18,2,true
stephenschristine,post_1464,2026-04-28,2,false
derek06,post_1040,2026-04-16,2,true
jacobcamacho,post_1188,2026-04-04,2,true
awagner,post_121,2026-04-23,1,true
ryan93,post_1415,2026-04-01,1,true
erickerr,post_464,2026-04-15,1,false
tracy57,post_790,2026-04-23,2,false
eray,post_819,2026-04-09,3,false
shane82,post_1110,2026-04-11,3,false
sarahschmidt,post_558,2026-04-24,1,true
cross,post_1879,2026-04-05,1,false
tylerwaters,post_108,2026-04-07,3,false
william30,post_1517,2026-04-10,1,true
meganmarquez,post_1027,2026-04-22,1,false
zfigueroa,post_1080,2026-04-15,3,true
xperez,post_1892,2026-04-08,3,true
terryroberts,post_419,2026-04-03,2,false
adam99,post_1242,2026-04-21,3,true
parkjohnathan,post_1144,2026-04-06,2,true
christophersanchez,post_1129,2026-04-02,2,false
thomasscott,post_488,2026-04-16,3,false
vazquezkevin,post_522,2026-04-15,3,false
egutierrez,post_9,2026-04-14,1,true
michelle95,post_1029,2026-04-11,1,true
john56,post_1335,2026-04-08,1,false
zacharylyons,post_121,2026-04-23,1,false
pamela42,post_527,2026-04-12,2,false
ramirezjeffrey,post_1224,2026-04-26,2,false
robin53,post_1278,2026-04-15,3,true
leenicholas,post_1426,2026-04-16,2,true
fryteresa,post_664,2026-04-21,1,false
james01,post_1901,2026-04-01,2,false
gward,post_1054,2026-04-10,1,false
gonzalezchristopher,post_781,2026-04-26,3,false
jasonshields,post_967,2026-04-03,3,false
joannaguerrero,post_352,2026-04-25,1,false
abennett,post_285,2026-04-01,3,false
raymond48,post_1290,2026-04-15,1,false
christopher42,post_1224,2026-04-26,2,true
michael35,post_1112,2026-04-23,2,true
josephfuller,post_1506,2026-04-23,1,true
olivia88,post_1780,2026-04-18,3,true
orozcotammy,post_396,2026-04-15,1,true
rebecca98,post_517,2026-04-04,3,false
julia54,post_308,2026-04-22,2,false
william93,post_564,2026-04-25,1,true
simpsonmadison,post_1595,2026-04-26,3,true
aaron85,post_1523,2026-04-25,1,true
wmora,post_1159,2026-04-20,3,false
brendameyer,post_34,2026-04-23,3,true
patriciamartinez,post_474,2026-04-19,1,false
zdavis,post_1826,2026-04-25,3,true
acoleman,post_1362,2026-04-10,3,false
scottgardner,post_1421,2026-04-03,1,true
bernardwilliams,post_1539,2026-04-25,2,false
dominicmoreno,post_1676,2026-04-14,3,true
gailfranklin,post_339,2026-04-06,3,false
adam99,post_892,2026-04-27,3,true
manuelbrown,post_158,2026-04-08,3,false
wernerwilliam,post_1548,2026-04-11,3,false
tayloreric,post_145,2026-04-05,3,true
margaretsmith,post_273,2026-04-11,2,false
george70,post_1151,2026-04-28,3,true
holtwilliam,post_885,2026-04-05,1,true
jennifer15,post_1037,2026-04-04,1,true
seanbryant,post_1474,2026-04-11,1,true
evanschristopher,post_951,2026-04-21,3,true
jessica01,post_118,2026-04-23,1,true
vhodge,post_1,2026-04-13,3,true
jasonsimmons,post_1508,2026-04-02,3,false
kellyayers,post_703,2026-04-26,1,true
eshaw,post_1505,2026-04-26,3,false
thomas45,post_1469,2026-04-17,2,true
heidileonard,post_1819,2026-04-15,1,true
tommyhill,post_938,2026-04-24,1,true
martinmichael,post_1130,2026-04-27,2,false
maxwell97,post_838,2026-04-13,2,true
jesseromero,post_490,2026-04-20,3,true
zimmermandavid,post_1622,2026-04-10,3,true
claytonhuang,post_1183,2026-04-12,1,true
hartshelly,post_904,2026-04-08,2,false
kimberly80,post_556,2026-04-12,2,true
gary25,post_915,2026-04-08,1,true
edward76,post_1079,2026-04-20,1,false
hannahhall,post_1179,2026-04-03,1,false
carlsongeoffrey,post_1785,2026-04-26,1,true
andersonpaul,post_1560,2026-04-20,3,false
richard16,post_623,2026-04-04,1,false
miguelbolton,post_1226,2026-04-03,2,false
rogersruben,post_1840,2026-04-06,3,false
wendy56,post_1124,2026-04-14,3,false
ireid,post_1723,2026-04-07,1,true
tony30,post_1785,2026-04-08,2,true
luiselliott,post_746,2026-04-13,2,false
tony30,post_1452,2026-04-06,2,false
ahall,post_1977,2026-04-27,3,false
susan01,post_1845,2026-04-03,1,false
brandongonzalez,post_909,2026-04-12,1,true
fhuffman,post_1009,2026-04-21,3,true
benjamin94,post_555,2026-04-20,2,false
zwalker,post_338,2026-04-22,1,false
hicksmichelle,post_1384,2026-04-28,3,true
fostersamuel,post_600,2026-04-06,3,false
hernandezamanda,post_1771,2026-04-24,1,true
roger23,post_1255,2026-04-20,2,false
jessicahudson,post_1761,2026-04-15,2,true
jeremycooper,post_1446,2026-04-16,3,false
burnsamanda,post_549,2026-04-26,3,true
paula87,post_654,2026-04-03,1,true
ffernandez,post_1666,2026-04-14,2,true
clarkjonathan,post_1824,2026-04-18,1,false
douglaslopez,post_661,2026-04-16,3,true
randallwilliams,post_67,2026-04-08,2,false
loripalmer,post_591,2026-04-23,2,false
sweeneyrobert,post_937,2026-04-21,2,true
nelsonjohn,post_340,2026-04-18,2,true
johnbrown,post_1460,2026-04-04,1,true
matthewrhodes,post_19,2026-04-14,2,false
cervantesjillian,post_1705,2026-04-15,2,true
johngriffin,post_863,2026-04-05,3,false
andrew64,post_586,2026-04-03,3,true
stevenjohnson,post_194,2026-04-10,3,true
douglassolis,post_531,2026-04-20,2,false
kcannon,post_200,2026-04-27,2,true
pherring,post_1641,2026-04-27,2,false
julia54,post_209,2026-04-17,2,true
jared35,post_606,2026-04-24,3,true
sjohnson,post_1059,2026-04-07,1,true
brownjohn,post_929,2026-04-05,2,false
ritamartin,post_872,2026-04-09,3,true
vbuckley,post_1363,2026-04-13,3,true
larryburns,post_1210,2026-04-09,3,false
wwade,post_783,2026-04-08,2,false
laura22,post_1638,2026-04-01,1,false
mckayvanessa,post_1234,2026-04-21,1,true
omarquez,post_587,2026-04-05,3,false
brendancarter,post_1640,2026-04-13,3,true
thess,post_711,2026-04-12,2,false
angelawilliams,post_1964,2026-04-13,1,true
adavis,post_253,2026-04-10,3,true
fbrown,post_1321,2026-04-25,3,true
scott75,post_1212,2026-04-13,1,false
coxronald,post_1528,2026-04-12,3,false
franklong,post_673,2026-04-21,3,true
leahperry,post_747,2026-04-23,2,false
walterrichard,post_1987,2026-04-19,1,false
hutchinsonlorraine,post_572,2026-04-01,1,false
nicholas69,post_1809,2026-04-01,1,false
david28,post_1871,2026-04-15,1,false
silvajames,post_624,2026-04-26,3,false
amiller,post_902,2026-04-23,2,false
ohinton,post_1303,2026-04-20,3,true
ericagreene,post_1185,2026-04-15,3,false
eclay,post_553,2026-04-18,2,true
csnyder,post_491,2026-04-05,3,true
jillianjohnson,post_1407,2026-04-18,3,false
briandickerson,post_352,2026-04-20,2,false
brandontyler,post_613,2026-04-19,3,true
sparksjonathan,post_505,2026-04-10,3,true
mooredonald,post_143,2026-04-23,3,false
andrewrobertson,post_951,2026-04-11,1,true
ireid,post_284,2026-04-13,1,false
pgonzalez,post_823,2026-04-25,2,false
albertellis,post_1731,2026-04-07,2,true
walkerjamie,post_440,2026-04-12,3,true
elizabethtorres,post_761,2026-04-02,2,false
ashleyporter,post_253,2026-04-11,2,false
moranwhitney,post_1399,2026-04-19,1,false
rogersruben,post_1897,2026-04-07,3,false
robert17,post_724,2026-04-23,2,true
martinchad,post_1155,2026-04-22,2,true
katherine81,post_800,2026-04-02,1,true
jessicajones,post_1853,2026-04-23,3,true
amy58,post_1534,2026-04-19,3,true
erica19,post_1475,2026-04-20,1,true
andersonpaul,post_1550,2026-04-16,1,false
ppotter,post_568,2026-04-28,2,true
epatel,post_1128,2026-04-05,2,true
jacob45,post_1699,2026-04-03,3,false
belindayates,post_1628,2026-04-08,2,false
staffordstacey,post_1111,2026-04-06,1,true
jeffreygamble,post_460,2026-04-16,2,false
vvargas,post_1675,2026-04-19,3,false
qhall,post_1847,2026-04-14,2,false
vanessa87,post_1044,2026-04-05,2,true
ralphcortez,post_1927,2026-04-27,2,true
gwright,post_1201,2026-04-26,1,false
ywalker,post_1382,2026-04-21,1,false
emilypeters,post_248,2026-04-18,3,false
gilmorecarl,post_71,2026-04-05,1,true
kimberly83,post_1927,2026-04-06,3,false
michaelpatton,post_859,2026-04-12,2,false
jackson36,post_280,2026-04-05,1,false
jennifer74,post_661,2026-04-14,1,false
traviswilliams,post_541,2026-04-17,2,true
hhammond,post_602,2026-04-26,2,false
gary20,post_189,2026-04-05,3,false
smithmichael,post_866,2026-04-10,1,true
robin53,post_1877,2026-04-19,3,false
aprilmatthews,post_1203,2026-04-17,2,false
jamesgalvan,post_265,2026-04-02,1,true
deborahholmes,post_1793,2026-04-23,3,false
phillip10,post_707,2026-04-17,1,true
stevensbrenda,post_941,2026-04-07,3,true
andrewbarnes,post_1102,2026-04-05,3,true
fmorgan,post_1327,2026-04-18,1,false
julia54,post_729,2026-04-11,2,true
stevenskenneth,post_124,2026-04-11,3,true
christophermorrison,post_1966,2026-04-28,2,false
padams,post_805,2026-04-03,3,true
hwallace,post_309,2026-04-01,2,true
waltersbreanna,post_487,2026-04-10,3,true
ashleewilliams,post_536,2026-04-18,1,true
carriearias,post_1062,2026-04-18,2,true
hestes,post_56,2026-04-13,2,true
phillipowen,post_1335,2026-04-18,1,true
afrost,post_1491,2026-04-23,2,true
smithkatie,post_956,2026-04-21,1,true
williamlamb,post_330,2026-04-02,3,false
waynedyer,post_1103,2026-04-23,3,false
tonya21,post_697,2026-04-06,3,false
jarvisjulia,post_18,2026-04-26,2,false
saraboyd,post_1267,2026-04-02,3,false
hinesmorgan,post_518,2026-04-02,1,true
brad76,post_1766,2026-04-12,3,true
kevinespinoza,post_1373,2026-04-11,3,false
kevin70,post_1622,2026-04-11,3,false
nicholascabrera,post_220,2026-04-11,2,false
linda55,post_726,2026-04-11,1,false
jennifer26,post_1986,2026-04-22,1,false
santanaleah,post_599,2026-04-02,3,true
victoria29,post_1891,2026-04-11,3,false
andersonpaul,post_1847,2026-04-03,1,true
kennedylauren,post_128,2026-04-28,1,false
tapiamichael,post_1687,2026-04-09,2,true
jasmine60,post_1851,2026-04-13,3,true
morenoderek,post_1532,2026-04-14,2,false
dawnmatthews,post_816,2026-04-24,2,false
nrodriguez,post_64,2026-04-12,1,false
mcdonaldbrooke,post_643,2026-04-13,2,true
hrichards,post_614,2026-04-02,3,false
faulknerwilliam,post_1519,2026-04-10,1,true
bryan93,post_319,2026-04-21,2,true
umoore,post_1489,2026-04-20,2,true
waynedyer,post_1848,2026-04-10,3,true
barbara93,post_1293,2026-04-23,3,true
hrobinson,post_1612,2026-04-19,3,false
buckleyanne,post_518,2026-04-22,3,false
thomaskiara,post_1905,2026-04-02,3,false
margaretsmith,post_1239,2026-04-02,2,false
ygood,post_309,2026-04-09,2,true
benjamin94,post_1653,2026-04-25,3,false
vcurry,post_1624,2026-04-09,2,false
jeffrodriguez,post_484,2026-04-03,3,true
mary08,post_1333,2026-04-01,3,false
dillon06,post_1061,2026-04-04,2,true
laura22,post_1251,2026-04-17,2,false
phillipsdarryl,post_1211,2026-04-03,1,true
anthony50,post_1992,2026-04-08,1,true
millerjanice,post_1059,2026-04-26,1,true
ojohnson,post_1108,2026-04-20,3,true
ellislisa,post_653,2026-04-18,3,true
ksmith,post_1653,2026-04-17,3,true
felicia85,post_1467,2026-04-15,2,true
matthew13,post_1001,2026-04-09,2,true
onealmarc,post_1789,2026-04-20,3,true
cguerrero,post_1773,2026-04-25,1,true
bholmes,post_1829,2026-04-19,3,false
hannahjones,post_479,2026-04-04,1,false
douglaslarson,post_1359,2026-04-16,1,false
rholloway,post_1965,2026-04-28,1,false
jasondavis,post_1836,2026-04-15,3,true
fergusonnatalie,post_1768,2026-04-10,1,true
bcastaneda,post_611,2026-04-14,2,true
stoutleslie,post_1224,2026-04-06,2,true
joshuarojas,post_1810,2026-04-23,1,false
johnpowell,post_181,2026-04-02,1,true
cheryl81,post_550,2026-04-03,3,false
ysmith,post_654,2026-04-20,2,false
katiemccarthy,post_323,2026-04-07,3,true
erik79,post_490,2026-04-07,2,false
danaphillips,post_678,2026-04-13,2,false
johnmurray,post_1987,2026-04-19,3,true
dustin20,post_1513,2026-04-16,3,false
davidfisher,post_415,2026-04-14,3,false
brett61,post_1069,2026-04-12,1,false
christina84,post_707,2026-04-13,1,true
dianapayne,post_706,2026-04-27,3,true
jamespatton,post_1011,2026-04-01,3,true
garymartin,post_491,2026-04-17,3,false
joshua13,post_573,2026-04-25,1,true
johnfisher,post_919,2026-04-18,3,false
tmoreno,post_238,2026-04-19,1,false
jacqueline19,post_123,2026-04-28,1,false
greenalicia,post_1823,2026-04-13,3,false
lynchtrevor,post_759,2026-04-01,1,false
burnettdeanna,post_1906,2026-04-15,1,false
andrewdavis,post_824,2026-04-16,1,false
williamlee,post_749,2026-04-10,1,true
brittney53,post_1613,2026-04-05,2,true
gvargas,post_358,2026-04-20,2,false
bestsamantha,post_1934,2026-04-20,2,false
eshaw,post_1729,2026-04-24,2,true
tiffanygraves,post_425,2026-04-18,3,false
roberttownsend,post_1288,2026-04-24,3,true
donnahall,post_430,2026-04-22,2,true
johnglass,post_1162,2026-04-25,1,true
tayloredward,post_691,2026-04-01,1,true
brandontyler,post_7,2026-04-15,2,true
jaredharvey,post_1966,2026-04-20,1,false
eperry,post_1002,2026-04-12,2,false
hannahknight,post_1227,2026-04-20,2,false
vazquezsierra,post_1147,2026-04-14,1,true
reneepope,post_405,2026-04-08,3,true
adamhowe,post_1560,2026-04-07,1,false
tony72,post_433,2026-04-15,1,false
dbailey,post_1996,2026-04-01,2,false
vmoody,post_852,2026-04-09,2,false
smithmario,post_1098,2026-04-02,2,true
jamesstewart,post_1874,2026-04-16,1,true
beasleyrobert,post_1729,2026-04-03,2,false
brownrobin,post_1441,2026-04-22,2,true
jamesgalvan,post_48,2026-04-06,3,false
brettjohnson,post_1793,2026-04-05,1,true
lsmith,post_1708,2026-04-27,2,true
nolanchase,post_1973,2026-04-21,2,false
dixonandrew,post_254,2026-04-20,2,true
jacob19,post_1857,2026-04-19,1,false
mccallbrittany,post_1876,2026-04-02,2,true
uhines,post_231,2026-04-16,1,true
cassandra10,post_1780,2026-04-08,2,false
jhuffman,post_1348,2026-04-13,2,true
jonesdennis,post_1939,2026-04-11,1,false
awagner,post_702,2026-04-26,1,true
lowejoel,post_275,2026-04-13,2,false
dixonandrew,post_508,2026-04-17,3,false
jasonsimmons,post_1348,2026-04-22,3,true
donnaalvarez,post_938,2026-04-20,1,false
chadburns,post_963,2026-04-12,2,true
amandamcdonald,post_51,2026-04-05,3,false
kevingarcia,post_23,2026-04-27,3,false
brian88,post_722,2026-04-16,3,false
wbrown,post_1322,2026-04-01,3,false
qguerrero,post_1225,2026-04-13,3,true
abrooks,post_1031,2026-04-23,3,false
fpace,post_1830,2026-04-18,1,true
urodriguez,post_648,2026-04-18,1,true
yewing,post_1190,2026-04-15,1,false
burnsjames,post_881,2026-04-15,3,false
cruzrebecca,post_1300,2026-04-23,2,true
munozmelissa,post_1356,2026-04-06,2,true
zkline,post_1904,2026-04-05,3,true
shannon43,post_232,2026-04-27,2,false
lutzeddie,post_1331,2026-04-14,1,true
ryan63,post_331,2026-04-21,1,true
mreyes,post_1160,2026-04-03,2,true
monique79,post_1364,2026-04-04,3,true
millermitchell,post_338,2026-04-12,3,false
jenniferfoster,post_1050,2026-04-04,3,false
zmartinez,post_1491,2026-04-08,1,false
drobbins,post_292,2026-04-15,1,true
glenn50,post_1718,2026-04-26,1,false
mejiaderek,post_1326,2026-04-20,3,true
schneiderdonald,post_965,2026-04-28,2,true
fvaldez,post_187,2026-04-04,1,true
jocelynbowers,post_1060,2026-04-06,2,true
joshuarojas,post_762,2026-04-15,3,true
johnglass,post_1699,2026-04-14,1,true
thomaspatrick,post_441,2026-04-28,3,false
whunt,post_185,2026-04-05,2,false
stephensmaria,post_1187,2026-04-13,1,false
michael70,post_883,2026-04-07,1,true
cynthia82,post_1009,2026-04-16,3,true
fernando07,post_756,2026-04-01,3,true
qroberts,post_1304,2026-04-19,2,false
castanedalisa,post_640,2026-04-15,3,false
crossgina,post_561,2026-04-24,1,false
carlsonrhonda,post_1104,2026-04-12,1,false
aprilbriggs,post_1040,2026-04-04,1,false
sawyererin,post_1048,2026-04-11,1,true
fphillips,post_1897,2026-04-12,1,true
uvargas,post_631,2026-04-22,1,true
denise31,post_1867,2026-04-17,2,true
bryan60,post_1904,2026-04-06,3,true
donnaalvarez,post_815,2026-04-06,1,false
eric50,post_17,2026-04-26,3,false
usanchez,post_1521,2026-04-28,2,false
baileyjoseph,post_1389,2026-04-23,2,true
emorris,post_1922,2026-04-13,1,true
omarquez,post_1930,2026-04-07,1,true
matthew33,post_1255,2026-04-11,3,true
thomasronald,post_1088,2026-04-28,2,true
douglaslopez,post_1210,2026-04-21,1,false
hfrank,post_1531,2026-04-04,2,true
peterhawkins,post_1494,2026-04-24,3,false
travis40,post_1074,2026-04-10,1,true
virginiapark,post_492,2026-04-08,3,false
rfloyd,post_1649,2026-04-28,2,false
davisgeorge,post_1304,2026-04-06,1,false
anthony38,post_964,2026-04-27,1,true
bwilliams,post_1497,2026-04-15,1,false
ryan82,post_942,2026-04-06,2,false
sshort,post_393,2026-04-26,2,true
pball,post_1262,2026-04-25,3,false
kerryhernandez,post_556,2026-04-03,1,false
rayjohn,post_578,2026-04-22,3,true
mrodriguez,post_892,2026-04-27,3,true
selenaterry,post_584,2026-04-11,3,true
kimberly87,post_1687,2026-04-15,3,false
eriktaylor,post_1880,2026-04-27,1,false
mcdowellrobert,post_990,2026-04-02,1,true
lisamiranda,post_1382,2026-04-22,1,false
lauraortega,post_262,2026-04-17,2,false
courtneysmith,post_259,2026-04-01,2,true
chadnelson,post_1050,2026-04-15,1,true
qmartinez,post_1238,2026-04-03,3,true
aprilgonzalez,post_8,2026-04-17,2,true
staffordstacey,post_1909,2026-04-23,3,false
ian90,post_798,2026-04-23,2,true
duartealexander,post_1424,2026-04-05,2,false
brianmckinney,post_904,2026-04-15,1,false
umorales,post_170,2026-04-06,2,false
jenniferwoodard,post_230,2026-04-05,2,false
cunninghamsusan,post_856,2026-04-01,3,true
tfuller,post_1074,2026-04-03,1,true
donnasmith,post_667,2026-04-02,2,true
dominiquevasquez,post_215,2026-04-16,2,true
sharonhamilton,post_517,2026-04-04,1,false
nrose,post_89,2026-04-21,1,false
sara82,post_768,2026-04-11,2,true
georgeharrell,post_713,2026-04-15,2,true
andersonjonathan,post_1292,2026-04-20,2,false
romerojohnathan,post_1632,2026-04-15,3,false
nsantiago,post_1876,2026-04-27,1,true
paula87,post_1398,2026-04-11,2,true
patriciabrewer,post_1335,2026-04-11,1,true
ctucker,post_1785,2026-04-27,1,true
cummingsdeborah,post_112,2026-04-14,3,false
megan01,post_735,2026-04-10,1,false
danielwatkins,post_939,2026-04-11,3,false
brianna93,post_1363,2026-04-22,1,true
jacob07,post_588,2026-04-16,1,true
madison37,post_1930,2026-04-03,2,true
richardtran,post_12,2026-04-24,1,true
christinahoward,post_973,2026-04-09,3,true
zruiz,post_1042,2026-04-24,3,false
perezkaren,post_1327,2026-04-05,2,true
mendezmelissa,post_1980,2026-04-01,3,false
petersenshannon,post_633,2026-04-12,3,false
murraygary,post_3,2026-04-07,2,false
benjamin36,post_1391,2026-04-08,2,false
hmckinney,post_1510,2026-04-14,3,true
nprice,post_1695,2026-04-21,1,false
fwinters,post_1398,2026-04-28,1,true
donald25,post_110,2026-04-01,2,false
smcknight,post_104,2026-04-01,3,false
collierkevin,post_1661,2026-04-20,2,false
djohnson,post_76,2026-04-17,1,false
kbrown,post_877,2026-04-17,3,true
