username,community_name,joinedAt,role,isActive
veronica19,r/patientgamers,2026-01-02,Member,false
irussell,r/Valorant,2026-01-31,Moderator,false
smithcrystal,r/skyrim,2026-04-19,Member,false
emilyallen,r/leagueoflegends,2026-03-01,Moderator,false
deborahholmes,r/Helldivers,2026-03-06,Moderator,false
blawson,r/Minecraft,2026-04-08,Moderator,false
andrewguzman,r/leagueoflegends,2026-01-15,Moderator,true
ptaylor,r/leagueoflegends,2026-04-12,Member,true
youngkatherine,r/pcmasterrace,2026-02-07,Member,false
wsingleton,r/NintendoSwitch,2026-02-10,Moderator,false
jessica62,r/Valorant,2026-01-08,Moderator,true
wrightjanice,r/Minecraft,2026-02-05,Moderator,false
sandy14,r/Valorant,2026-02-16,Moderator,false
ifloyd,r/GlobalOffensive,2026-02-07,Member,true
martineztammy,r/pcmasterrace,2026-02-24,Member,true
deborahholmes,r/skyrim,2026-02-24,Moderator,false
brittany83,r/Helldivers,2026-04-05,Member,false
karinasmith,r/Helldivers,2026-04-14,Member,true
princemargaret,r/GlobalOffensive,2026-01-08,Moderator,false
coreybond,r/truegaming,2026-01-28,Member,false
andrewguzman,r/FortniteBR,2026-02-03,Member,true
gwright,r/Minecraft,2026-03-16,Member,false
mcintyregregory,r/FortniteBR,2026-01-27,Moderator,false
jeffrey39,r/indiegames,2026-01-10,Member,true
hector58,r/leagueoflegends,2026-03-26,Member,false
caitlin62,r/GlobalOffensive,2026-02-08,Moderator,true
chenkylie,r/GlobalOffensive,2026-04-05,Member,true
hansondavid,r/Helldivers,2026-04-21,Moderator,false
cameronlopez,r/pcmasterrace,2026-03-13,Member,false
calderonstephanie,r/GlobalOffensive,2026-04-24,Member,false
samueladams,r/patientgamers,2026-04-24,Member,false
mchristensen,r/EldenRing,2026-03-20,Member,false
ashleywashington,r/PS5,2026-02-21,Moderator,false
mtanner,r/Minecraft,2026-04-16,Moderator,true
sherry03,r/PS5,2026-02-06,Member,true
latoya71,r/gaming,2026-04-11,Member,true
rachelmcgee,r/pcmasterrace,2026-01-03,Moderator,false
tarareynolds,r/PS5,2026-01-07,Moderator,false
ygreen,r/truegaming,2026-01-12,Member,true
kristen04,r/FortniteBR,2026-02-06,Member,false
knightmartin,r/Minecraft,2026-03-08,Member,true
whunt,r/GlobalOffensive,2026-04-06,Moderator,true
javier92,r/leagueoflegends,2026-04-19,Member,false
brenda63,r/PS5,2026-04-15,Moderator,true
jacksondenise,r/gaming,2026-04-15,Member,false
rogersruben,r/patientgamers,2026-03-21,Member,false
katiemccarthy,r/GlobalOffensive,2026-01-07,Member,false
zacharylyons,r/Valorant,2026-04-01,Member,false
stephaniefields,r/Minecraft,2026-03-24,Moderator,false
christian47,r/Minecraft,2026-04-06,Member,true
nwest,r/Helldivers,2026-02-13,Moderator,true
gdavis,r/FortniteBR,2026-02-16,Moderator,false
melissajackson,r/NintendoSwitch,2026-02-03,Member,true
joshuarojas,r/Valorant,2026-02-23,Member,false
romanmckenzie,r/leagueoflegends,2026-02-16,Member,false
ogriffith,r/patientgamers,2026-04-15,Member,false
kimberlylawrence,r/Valorant,2026-01-03,Moderator,true
lindsey25,r/Minecraft,2026-04-20,Member,false
ecruz,r/pcmasterrace,2026-03-04,Member,false
ylindsey,r/patientgamers,2026-03-21,Moderator,true
bridgeslori,r/leagueoflegends,2026-03-20,Moderator,false
csnyder,r/skyrim,2026-04-17,Moderator,false
brendan17,r/skyrim,2026-02-08,Moderator,false
zmorales,r/FortniteBR,2026-04-01,Member,false
evanross,r/gaming,2026-02-24,Moderator,true
carlsongeoffrey,r/Valorant,2026-01-23,Moderator,true
klarsen,r/patientgamers,2026-01-15,Moderator,false
ideleon,r/gaming,2026-04-10,Member,true
jamescox,r/pcmasterrace,2026-04-12,Moderator,false
brandon67,r/gaming,2026-03-20,Moderator,true
derrick49,r/pcmasterrace,2026-04-26,Moderator,false
qgray,r/Helldivers,2026-01-19,Member,false
lewissteven,r/gaming,2026-01-19,Moderator,false
marksmith,r/patientgamers,2026-01-27,Moderator,false
erika21,r/EldenRing,2026-01-03,Moderator,true
bradleyanderson,r/NintendoSwitch,2026-03-12,Member,false
amanda28,r/gaming,2026-04-07,Member,true
owolf,r/skyrim,2026-02-03,Moderator,false
simpsonjay,r/leagueoflegends,2026-02-05,Member,true
heather53,r/truegaming,2026-02-05,Member,false
nicholasdixon,r/GlobalOffensive,2026-01-23,Member,false
carol40,r/leagueoflegends,2026-03-30,Member,false
zmartinez,r/pcmasterrace,2026-02-12,Member,false
joseph47,r/indiegames,2026-03-09,Member,true
hickssharon,r/pcmasterrace,2026-03-04,Member,false
ukelly,r/Minecraft,2026-04-07,Member,false
shawnmartinez,r/NintendoSwitch,2026-02-17,Moderator,true
jimenezsarah,r/leagueoflegends,2026-03-18,Moderator,true
jenniferwoodard,r/GlobalOffensive,2026-03-13,Moderator,false
jeffreygamble,r/leagueoflegends,2026-02-11,Member,true
donnahall,r/truegaming,2026-04-14,Moderator,true
vflores,r/truegaming,2026-01-17,Member,false
vhodge,r/truegaming,2026-02-13,Moderator,false
angela04,r/Valorant,2026-04-25,Moderator,false
phillipsdarryl,r/PS5,2026-02-17,Member,true
uriddle,r/Helldivers,2026-04-22,Moderator,true
kathleengonzalez,r/Helldivers,2026-02-28,Moderator,false
gordonearl,r/truegaming,2026-04-09,Moderator,false
susangoodman,r/leagueoflegends,2026-03-04,Member,false
crystal66,r/Valorant,2026-02-11,Member,true
hurleyalexandra,r/truegaming,2026-04-12,Member,true
wsanders,r/indiegames,2026-03-20,Moderator,false
rayjohn,r/patientgamers,2026-01-14,Member,true
tony72,r/EldenRing,2026-04-06,Moderator,true
hrobinson,r/pcmasterrace,2026-01-21,Member,false
mooremarcus,r/Helldivers,2026-02-13,Member,false
hutchinsonlorraine,r/NintendoSwitch,2026-04-18,Member,false
knelson,r/PS5,2026-03-19,Member,true
travisjacobs,r/EldenRing,2026-04-20,Member,true
davenportdavid,r/FortniteBR,2026-04-24,Member,true
rodriguezdouglas,r/EldenRing,2026-01-28,Member,false
juanscott,r/GlobalOffensive,2026-01-14,Member,true
alexbeck,r/Helldivers,2026-02-05,Moderator,false
susan05,r/EldenRing,2026-03-25,Moderator,true
melissajackson,r/truegaming,2026-02-08,Member,false
heatherirwin,r/truegaming,2026-02-14,Moderator,false
johnsontheodore,r/Valorant,2026-01-29,Moderator,true
jessicahudson,r/GlobalOffensive,2026-04-21,Member,true
zachary69,r/NintendoSwitch,2026-03-19,Moderator,false
brooke78,r/truegaming,2026-04-21,Moderator,false
patriciamartinez,r/GlobalOffensive,2026-01-14,Member,false
nbass,r/patientgamers,2026-01-10,Member,false
michaelrobinson,r/PS5,2026-03-27,Moderator,false
areyes,r/Minecraft,2026-02-17,Member,true
lorraine90,r/pcmasterrace,2026-04-11,Moderator,true
zhenson,r/patientgamers,2026-03-29,Member,true
maurice47,r/skyrim,2026-01-03,Moderator,false
ymiller,r/Helldivers,2026-01-21,Member,false
wclark,r/truegaming,2026-04-03,Moderator,false
mcdonaldbradley,r/leagueoflegends,2026-02-16,Moderator,false
brianberger,r/pcmasterrace,2026-03-05,Moderator,false
aaguilar,r/patientgamers,2026-03-11,Moderator,false
carol40,r/GlobalOffensive,2026-04-24,Member,true
staffordstacey,r/truegaming,2026-01-23,Member,true
jennifershelton,r/gaming,2026-01-17,Moderator,true
mcmahondominic,r/FortniteBR,2026-03-25,Member,false
wyatt57,r/truegaming,2026-04-26,Moderator,true
jennifer38,r/GlobalOffensive,2026-03-28,Member,false
marksmith,r/skyrim,2026-02-14,Moderator,true
christopher62,r/truegaming,2026-03-19,Member,true
millerjustin,r/PS5,2026-04-25,Member,true
amber54,r/Valorant,2026-03-08,Member,false
lisa10,r/Minecraft,2026-02-22,Moderator,true
theresa22,r/FortniteBR,2026-04-07,Member,false
amanda73,r/pcmasterrace,2026-03-11,Moderator,true
stephaniefields,r/NintendoSwitch,2026-01-03,Moderator,false
tracybecker,r/leagueoflegends,2026-02-23,Moderator,true
mccannrobert,r/Valorant,2026-04-26,Member,false
adamslarry,r/Minecraft,2026-01-30,Moderator,false
ewilliams,r/indiegames,2026-01-06,Moderator,true
santanaleah,r/NintendoSwitch,2026-02-09,Member,true
perezkaren,r/FortniteBR,2026-02-04,Moderator,true
hensleyjenna,r/pcmasterrace,2026-01-02,Member,false
ecrane,r/Minecraft,2026-03-13,Moderator,false
ritamartin,r/truegaming,2026-04-14,Moderator,true
jim50,r/indiegames,2026-04-24,Member,true
kimberlymarsh,r/truegaming,2026-04-23,Moderator,false
jamescox,r/indiegames,2026-02-22,Moderator,true
nolanchase,r/Helldivers,2026-02-08,Moderator,false
dyoung,r/pcmasterrace,2026-03-16,Member,false
kaitlyn30,r/leagueoflegends,2026-03-03,Moderator,false
robinsonbriana,r/GlobalOffensive,2026-01-09,Moderator,true
wilsoneric,r/skyrim,2026-03-17,Moderator,false
kfields,r/NintendoSwitch,2026-03-26,Member,false
wduncan,r/FortniteBR,2026-03-27,Moderator,true
greenedonna,r/indiegames,2026-04-12,Member,false
markmiller,r/Helldivers,2026-04-20,Moderator,false
jacksonbrenda,r/pcmasterrace,2026-01-31,Member,true
hwoodward,r/Valorant,2026-01-10,Member,true
williamprice,r/indiegames,2026-01-18,Moderator,true
buckleyjacob,r/leagueoflegends,2026-03-04,Moderator,false
bellnicholas,r/Minecraft,2026-02-11,Moderator,true
thart,r/GlobalOffensive,2026-01-04,Member,false
hfuller,r/leagueoflegends,2026-03-19,Moderator,false
johnmurray,r/pcmasterrace,2026-02-28,Moderator,true
stevenmedina,r/indiegames,2026-02-02,Moderator,true
kkrause,r/gaming,2026-03-08,Moderator,false
jwilliams,r/PS5,2026-04-26,Moderator,false
tonya61,r/pcmasterrace,2026-03-15,Member,false
stacey43,r/patientgamers,2026-04-19,Moderator,false
kyle60,r/gaming,2026-04-26,Member,false
keithrush,r/GlobalOffensive,2026-02-12,Moderator,true
smithkatie,r/pcmasterrace,2026-03-10,Moderator,true
melaniejackson,r/Helldivers,2026-01-15,Moderator,true
jonathankidd,r/PS5,2026-02-05,Member,false
hodgesdavid,r/leagueoflegends,2026-01-07,Moderator,false
ljones,r/Helldivers,2026-04-19,Moderator,true
lopezkarl,r/indiegames,2026-01-11,Member,true
xwilliams,r/Minecraft,2026-01-02,Moderator,true
millerclaudia,r/Valorant,2026-01-31,Moderator,false
wduncan,r/leagueoflegends,2026-02-07,Moderator,true
hernandezangela,r/pcmasterrace,2026-01-22,Member,true
rebecca64,r/gaming,2026-01-18,Member,false
keithsheppard,r/Helldivers,2026-01-06,Moderator,false
derek01,r/PS5,2026-04-13,Moderator,false
patriciaholden,r/EldenRing,2026-01-02,Moderator,false
sheilahernandez,r/GlobalOffensive,2026-01-14,Member,false
randycooley,r/truegaming,2026-03-10,Moderator,false
erica09,r/Valorant,2026-01-10,Moderator,false
krystal89,r/skyrim,2026-03-29,Moderator,false
samanthahunt,r/Minecraft,2026-03-23,Member,false
jessica53,r/patientgamers,2026-04-26,Member,true
thenderson,r/gaming,2026-03-23,Moderator,true
joelgray,r/leagueoflegends,2026-01-29,Moderator,true
wadams,r/Valorant,2026-01-01,Moderator,false
michaelmartinez,r/leagueoflegends,2026-04-12,Member,true
sherririvas,r/NintendoSwitch,2026-02-28,Moderator,false
darlene83,r/indiegames,2026-03-29,Moderator,false
kirbyjames,r/indiegames,2026-04-20,Moderator,false
judithneal,r/Minecraft,2026-02-16,Moderator,false
johnmiller,r/truegaming,2026-03-25,Member,false
troy54,r/leagueoflegends,2026-02-01,Member,false
elizabethbrooks,r/PS5,2026-02-07,Moderator,true
ashley74,r/GlobalOffensive,2026-02-17,Moderator,false
teresamyers,r/gaming,2026-01-30,Member,false
pamprice,r/indiegames,2026-03-11,Moderator,false
lmorris,r/Helldivers,2026-01-31,Member,true
christopherhall,r/NintendoSwitch,2026-01-18,Member,false
awagner,r/Minecraft,2026-02-02,Member,false
martindaniel,r/patientgamers,2026-01-18,Moderator,true
theodorewhite,r/leagueoflegends,2026-02-08,Member,true
kford,r/EldenRing,2026-03-30,Member,false
melissajackson,r/gaming,2026-03-20,Moderator,false
aliciahall,r/NintendoSwitch,2026-04-09,Moderator,true
kellysmith,r/patientgamers,2026-02-06,Moderator,true
mary50,r/pcmasterrace,2026-04-20,Moderator,false
sandy14,r/leagueoflegends,2026-03-22,Moderator,false
mejiamarcus,r/skyrim,2026-03-06,Moderator,true
jonathankidd,r/GlobalOffensive,2026-04-05,Moderator,true
qnicholson,r/NintendoSwitch,2026-01-06,Member,false
alexandria14,r/indiegames,2026-04-21,Member,true
jeffrey49,r/Minecraft,2026-03-17,Member,true
stewartmiranda,r/FortniteBR,2026-01-16,Member,true
robertestrada,r/Helldivers,2026-03-28,Member,true
reevesjamie,r/gaming,2026-01-19,Moderator,false
michael24,r/NintendoSwitch,2026-03-22,Moderator,false
jessica56,r/Helldivers,2026-03-30,Member,true
carlflores,r/indiegames,2026-04-25,Member,false
angelacrosby,r/Minecraft,2026-04-02,Member,false
angelacrosby,r/pcmasterrace,2026-01-07,Moderator,true
kathleendavis,r/skyrim,2026-04-07,Moderator,false
jay90,r/patientgamers,2026-02-20,Moderator,false
katie58,r/NintendoSwitch,2026-04-25,Moderator,false
xcunningham,r/NintendoSwitch,2026-01-05,Member,false
qgray,r/GlobalOffensive,2026-01-14,Member,true
hhenderson,r/GlobalOffensive,2026-02-13,Member,true
rileyjames,r/FortniteBR,2026-02-15,Member,true
watsonaustin,r/EldenRing,2026-02-01,Member,false
carolyn64,r/indiegames,2026-03-09,Member,false
yolanda25,r/indiegames,2026-02-05,Moderator,true
dhall,r/GlobalOffensive,2026-01-30,Moderator,false
hwoodward,r/Minecraft,2026-02-11,Moderator,false
boylethomas,r/EldenRing,2026-02-28,Moderator,false
jennifer21,r/leagueoflegends,2026-01-12,Member,true
brendan17,r/PS5,2026-03-22,Member,true
bradleyanderson,r/pcmasterrace,2026-01-11,Member,true
monicawilliams,r/EldenRing,2026-03-09,Member,true
aaron85,r/FortniteBR,2026-03-24,Moderator,false
qstevens,r/PS5,2026-04-19,Member,true
donald34,r/skyrim,2026-01-02,Moderator,true
stephanieweaver,r/pcmasterrace,2026-03-17,Moderator,false
lkey,r/NintendoSwitch,2026-03-25,Moderator,true
victoriakey,r/truegaming,2026-02-28,Moderator,true
susan01,r/skyrim,2026-02-16,Member,false
alexanderjimenez,r/Valorant,2026-04-18,Moderator,false
riveraglenn,r/NintendoSwitch,2026-04-15,Member,false
sanchezmichael,r/Valorant,2026-02-27,Member,false
mooredeanna,r/Helldivers,2026-03-13,Member,false
echang,r/leagueoflegends,2026-01-30,Moderator,true
whitecynthia,r/leagueoflegends,2026-04-19,Member,false
douglaslewis,r/pcmasterrace,2026-03-22,Moderator,true
tracygregory,r/GlobalOffensive,2026-04-12,Member,false
vmiller,r/pcmasterrace,2026-02-24,Member,true
danielrocha,r/Valorant,2026-02-14,Moderator,true
acordova,r/EldenRing,2026-01-24,Moderator,true
brittanyaguirre,r/EldenRing,2026-03-12,Moderator,false
pamprice,r/Valorant,2026-04-18,Member,false
twilliams,r/pcmasterrace,2026-01-31,Member,false
nathanielmorrison,r/patientgamers,2026-04-24,Moderator,false
espinozajuan,r/Helldivers,2026-04-03,Member,true
sextonchristopher,r/pcmasterrace,2026-03-26,Moderator,true
michael11,r/indiegames,2026-01-02,Moderator,false
emartinez,r/Valorant,2026-02-11,Member,false
maryhines,r/Valorant,2026-04-28,Member,false
petersondonna,r/leagueoflegends,2026-03-26,Member,true
sallybrock,r/truegaming,2026-02-05,Member,true
vflores,r/patientgamers,2026-03-29,Moderator,false
megantate,r/GlobalOffensive,2026-01-21,Moderator,false
sanchezdesiree,r/PS5,2026-03-11,Member,true
stevenjohnson,r/patientgamers,2026-03-15,Moderator,false
ulopez,r/NintendoSwitch,2026-02-07,Moderator,true
hortonmitchell,r/skyrim,2026-03-06,Member,true
johnsonchris,r/truegaming,2026-03-26,Moderator,true
pgomez,r/truegaming,2026-03-06,Moderator,true
catherine32,r/GlobalOffensive,2026-01-08,Member,true
william66,r/GlobalOffensive,2026-01-03,Moderator,true
tmartinez,r/GlobalOffensive,2026-04-09,Member,true
trevormunoz,r/patientgamers,2026-01-19,Moderator,false
padillaann,r/gaming,2026-04-02,Member,false
patrick19,r/patientgamers,2026-01-28,Moderator,true
amberhawkins,r/pcmasterrace,2026-01-26,Moderator,true
heatherayala,r/patientgamers,2026-03-01,Member,false
samuelchavez,r/gaming,2026-03-08,Member,false
riverarobert,r/FortniteBR,2026-04-23,Member,false
michaelmills,r/skyrim,2026-02-18,Moderator,false
hrobinson,r/skyrim,2026-04-09,Member,true
lopezkarl,r/EldenRing,2026-03-12,Moderator,true
ashley00,r/FortniteBR,2026-04-18,Member,false
stokesrachel,r/truegaming,2026-02-22,Member,false
ohughes,r/indiegames,2026-03-17,Moderator,false
lindseyperez,r/GlobalOffensive,2026-04-04,Moderator,true
christine64,r/Minecraft,2026-01-28,Moderator,false
jacksonbeverly,r/FortniteBR,2026-04-19,Moderator,false
ksmith,r/FortniteBR,2026-04-12,Member,false
deannaberry,r/Valorant,2026-04-18,Member,true
bradshawann,r/indiegames,2026-01-13,Member,false
lori51,r/pcmasterrace,2026-03-25,Member,true
taradominguez,r/skyrim,2026-03-11,Member,false
bbrooks,r/indiegames,2026-01-23,Member,false
vgreer,r/EldenRing,2026-04-14,Moderator,true
khanson,r/Helldivers,2026-01-06,Member,true
riveraglenn,r/Minecraft,2026-02-05,Moderator,false
wodonnell,r/PS5,2026-03-02,Member,false
cguerrero,r/GlobalOffensive,2026-01-16,Member,false
kristina37,r/gaming,2026-01-25,Moderator,true
garrettnicholas,r/Valorant,2026-03-29,Moderator,true
barnettjennifer,r/Helldivers,2026-04-02,Moderator,false
mark77,r/PS5,2026-01-26,Member,false
melindaparker,r/EldenRing,2026-01-17,Moderator,false
pbryan,r/Helldivers,2026-03-28,Moderator,true
watsonnicholas,r/patientgamers,2026-04-09,Member,false
robertparks,r/patientgamers,2026-01-11,Member,true
ewong,r/indiegames,2026-01-04,Member,true
john90,r/leagueoflegends,2026-04-27,Member,true
joe25,r/patientgamers,2026-04-12,Moderator,false
courtneysmith,r/skyrim,2026-01-13,Moderator,true
gaineschristian,r/pcmasterrace,2026-03-10,Moderator,true
joseellis,r/pcmasterrace,2026-02-17,Member,false
torressophia,r/EldenRing,2026-03-09,Moderator,true
kyle60,r/truegaming,2026-03-12,Member,false
knightmichael,r/patientgamers,2026-01-02,Member,true
ashleyporter,r/EldenRing,2026-03-18,Member,false
philliprogers,r/leagueoflegends,2026-03-01,Member,false
stephenfields,r/EldenRing,2026-04-15,Moderator,true
laura81,r/truegaming,2026-03-07,Moderator,false
richard03,r/patientgamers,2026-02-21,Moderator,false
wlewis,r/pcmasterrace,2026-02-21,Member,true
kelseybaker,r/NintendoSwitch,2026-02-11,Member,true
justin79,r/Minecraft,2026-03-17,Moderator,true
tthomas,r/indiegames,2026-04-19,Member,false
smithkatie,r/pcmasterrace,2026-04-08,Member,true
salasjames,r/leagueoflegends,2026-03-29,Member,false
smithjulia,r/Valorant,2026-01-19,Member,false
kelliross,r/truegaming,2026-02-26,Moderator,false
phillipschristopher,r/PS5,2026-04-24,Moderator,false
ureid,r/Minecraft,2026-04-28,Moderator,true
michellesheppard,r/patientgamers,2026-01-28,Moderator,true
richardsonamanda,r/skyrim,2026-01-31,Moderator,true
joshua13,r/Valorant,2026-04-22,Moderator,true
cunninghamvalerie,r/NintendoSwitch,2026-02-07,Member,true
ojohnson,r/EldenRing,2026-04-20,Moderator,true
michael35,r/PS5,2026-04-02,Moderator,false
cheryl81,r/leagueoflegends,2026-01-13,Moderator,true
kathyhenry,r/Helldivers,2026-03-27,Moderator,true
miguelbolton,r/leagueoflegends,2026-04-19,Moderator,true
shannonjones,r/Helldivers,2026-02-08,Member,false
ggardner,r/FortniteBR,2026-04-15,Moderator,false
shellykelly,r/Minecraft,2026-03-07,Member,false
william30,r/Minecraft,2026-02-14,Member,true
emily78,r/EldenRing,2026-02-19,Moderator,true
sharon87,r/truegaming,2026-01-19,Moderator,true
william93,r/NintendoSwitch,2026-02-13,Moderator,true
elizabethtorres,r/EldenRing,2026-02-03,Moderator,false
aprilkelly,r/NintendoSwitch,2026-02-20,Moderator,false
brenda63,r/NintendoSwitch,2026-03-23,Member,false
christopher01,r/indiegames,2026-03-08,Member,true
bryanflores,r/pcmasterrace,2026-04-16,Moderator,false
daniel93,r/FortniteBR,2026-03-12,Member,false
sarah48,r/skyrim,2026-01-10,Member,false
kenneth78,r/FortniteBR,2026-01-25,Moderator,true
conniecox,r/leagueoflegends,2026-04-24,Member,false
zachary97,r/FortniteBR,2026-04-08,Moderator,false
alison80,r/Valorant,2026-02-11,Member,false
ashleywashington,r/pcmasterrace,2026-02-17,Member,true
brett61,r/Minecraft,2026-02-21,Moderator,true
walkerjennifer,r/Valorant,2026-04-06,Moderator,true
lauren04,r/NintendoSwitch,2026-03-28,Moderator,true
mgalvan,r/Helldivers,2026-03-18,Moderator,false
mbullock,r/GlobalOffensive,2026-04-08,Moderator,true
haneyjames,r/Minecraft,2026-02-22,Moderator,false
kimberlylawrence,r/Helldivers,2026-02-05,Moderator,false
emilyjohnson,r/NintendoSwitch,2026-03-14,Member,false
jeffreycervantes,r/NintendoSwitch,2026-03-21,Moderator,true
jaredruiz,r/truegaming,2026-04-04,Member,false
youngbrooke,r/indiegames,2026-01-08,Member,true
emorris,r/skyrim,2026-04-13,Member,true
christopherdavis,r/pcmasterrace,2026-03-02,Moderator,false
paul79,r/patientgamers,2026-02-05,Moderator,false
jennifer28,r/skyrim,2026-02-26,Member,false
elizabethbrooks,r/pcmasterrace,2026-01-22,Member,false
duncanmichael,r/FortniteBR,2026-03-04,Moderator,false
shawn21,r/pcmasterrace,2026-03-16,Member,false
danielvargas,r/pcmasterrace,2026-01-12,Moderator,true
jenniferfox,r/gaming,2026-03-23,Moderator,true
ronalddurham,r/leagueoflegends,2026-04-22,Member,true
ygreen,r/skyrim,2026-04-01,Member,false
thomas47,r/gaming,2026-01-23,Moderator,true
vshaw,r/Helldivers,2026-01-15,Moderator,true
jason31,r/indiegames,2026-02-14,Member,true
weberjuan,r/pcmasterrace,2026-03-08,Member,false
eric65,r/truegaming,2026-01-06,Moderator,true
laurie19,r/PS5,2026-03-28,Moderator,false
dustin20,r/pcmasterrace,2026-01-07,Member,false
brenda63,r/EldenRing,2026-02-26,Member,true
cramirez,r/pcmasterrace,2026-04-08,Moderator,true
brenda63,r/Valorant,2026-01-03,Member,true
petersondonna,r/PS5,2026-02-13,Member,true
barrettrebekah,r/GlobalOffensive,2026-01-03,Member,false
pball,r/Valorant,2026-04-13,Moderator,false
kentbrandon,r/GlobalOffensive,2026-01-24,Member,true
marcus35,r/pcmasterrace,2026-01-01,Member,true
ljones,r/leagueoflegends,2026-03-17,Moderator,true
erin11,r/skyrim,2026-03-19,Member,true
mreyes,r/Helldivers,2026-02-04,Member,false
andrea48,r/EldenRing,2026-01-02,Member,false
afrost,r/indiegames,2026-03-05,Member,false
jnichols,r/gaming,2026-02-26,Moderator,false
qolson,r/PS5,2026-04-14,Member,false
wandakennedy,r/PS5,2026-04-24,Member,false
christina45,r/GlobalOffensive,2026-02-03,Moderator,false
danielsamanda,r/truegaming,2026-03-03,Member,true
kmckinney,r/patientgamers,2026-01-10,Moderator,true
qnicholson,r/FortniteBR,2026-04-24,Member,false
hmoore,r/patientgamers,2026-02-28,Member,false
larry13,r/leagueoflegends,2026-01-17,Member,false
haasmelissa,r/indiegames,2026-01-23,Member,true
gfrazier,r/leagueoflegends,2026-04-22,Member,true
carolyn94,r/patientgamers,2026-02-23,Member,false
munozmelissa,r/truegaming,2026-03-18,Moderator,true
mezavanessa,r/PS5,2026-03-15,Moderator,false
denisesmith,r/truegaming,2026-02-03,Member,true
freemanangela,r/patientgamers,2026-04-09,Member,true
wlewis,r/gaming,2026-02-26,Member,false
daychristian,r/Helldivers,2026-04-15,Member,false
silvajames,r/Minecraft,2026-04-08,Moderator,false
paula99,r/PS5,2026-04-27,Moderator,false
paulhill,r/leagueoflegends,2026-02-28,Moderator,true
karinasmith,r/gaming,2026-04-19,Moderator,true
fryteresa,r/Minecraft,2026-04-04,Member,false
cheryl81,r/truegaming,2026-03-13,Member,true
rachelrobertson,r/FortniteBR,2026-01-01,Moderator,false
rachelmanning,r/NintendoSwitch,2026-01-23,Member,false
simmonsrandy,r/FortniteBR,2026-01-01,Moderator,true
jenniferhall,r/indiegames,2026-03-28,Member,false
bryan93,r/skyrim,2026-01-14,Moderator,true
nrose,r/patientgamers,2026-01-31,Member,true
smartinez,r/gaming,2026-02-23,Moderator,true
ibecker,r/EldenRing,2026-01-22,Member,true
allen84,r/GlobalOffensive,2026-03-07,Moderator,false
markschroeder,r/truegaming,2026-03-19,Moderator,false
brookeking,r/Helldivers,2026-04-20,Member,true
christianmartinez,r/leagueoflegends,2026-03-22,Member,true
