username_a,username_b,sinceAt,notificationsOn,closeFriend
theresa22,reevesjamie,2026-02-22,false,false
kathleenguerrero,hilladam,2026-03-24,false,true
kevin66,bakercheryl,2026-02-07,false,false
matthew63,jjones,2026-02-01,false,false
adamclark,hhammond,2026-01-31,false,false
hkennedy,oroberts,2026-03-13,false,true
riverarobert,zunigadustin,2026-03-16,true,false
jeffreygamble,ashleyjennings,2026-03-25,true,true
mitchelllaura,schneiderjacqueline,2026-04-27,true,false
michaelwoods,morganmario,2026-01-05,true,true
jessicajones,williamyoung,2026-01-24,true,false
amoon,matthew24,2026-03-29,false,true
uholt,rachelmanning,2026-02-22,true,true
ashley87,eclark,2026-01-05,false,false
jeffrey39,ellissamuel,2026-03-07,false,true
mfuentes,steelealice,2026-04-02,true,true
michael35,lynchdebra,2026-04-22,true,true
dware,thomaspatrick,2026-03-13,true,true
agould,jbailey,2026-02-10,true,false
bennettcatherine,jason62,2026-01-29,false,true
marthajackson,jaredruiz,2026-04-06,false,false
xsanchez,travis14,2026-03-21,false,true
bradleyanderson,gward,2026-02-07,false,false
ronaldingram,mharris,2026-03-26,true,false
haydenrebecca,ginanorton,2026-03-04,false,true
sandrathompson,ztran,2026-04-23,true,false
natasha64,kyletanner,2026-02-25,false,false
simmonsrandy,qjohnson,2026-02-04,false,false
cameronlopez,samantha96,2026-01-02,true,false
lharris,sjohnson,2026-04-12,false,false
robertcoffey,phelpscolleen,2026-01-12,true,false
thomaslee,elogan,2026-03-23,true,true
wrightkaren,sextonchristopher,2026-04-13,true,false
iwood,eberry,2026-02-28,true,false
elizabethburke,phillipsjoseph,2026-04-08,false,true
samuelperry,hhernandez,2026-03-25,true,true
deleonjames,jenniferwoodard,2026-04-24,true,false
paul16,kmcneil,2026-01-15,false,false
medinajohn,hurleyalexandra,2026-04-26,false,true
dkelly,john04,2026-03-12,true,false
rramos,spencermaria,2026-03-24,true,true
lynnjames,gailfranklin,2026-01-08,false,false
uhines,robin35,2026-02-05,true,false
beckroberto,matthew32,2026-02-20,true,true
brownjohnny,mariaolson,2026-02-18,false,false
amberbryant,silvajames,2026-04-17,false,false
michaelbates,bryan93,2026-02-18,true,true
victor72,omarsanchez,2026-04-08,false,false
deanmichele,michaelpatton,2026-04-28,false,true
troy54,amanda39,2026-03-04,true,false
hwilliams,christopher73,2026-02-02,true,false
frenchmatthew,david75,2026-04-13,true,true
mckayvanessa,angelcox,2026-01-11,false,false
alyssa38,paulaesparza,2026-02-22,true,true
gonzalezjoshua,duncanmichael,2026-03-26,true,true
richard30,kimberlytaylor,2026-02-01,true,true
james56,feliciaanderson,2026-03-12,true,false
perezdaniel,cramirez,2026-03-21,false,false
dannyrowland,kenneth90,2026-01-13,true,false
andrewmendoza,gvargas,2026-01-08,false,false
williamsjill,veronica25,2026-03-07,false,true
barrettrebekah,grimesemily,2026-01-03,false,true
richard39,dylan87,2026-04-11,true,false
jprice,wrightjanice,2026-04-25,true,false
upierce,guzmanbrandi,2026-04-21,false,true
danielshort,yhooper,2026-04-05,true,true
taylor12,andrewsmith,2026-02-18,false,false
alyssagentry,carlsongeoffrey,2026-02-15,true,true
vbuckley,ashleybarnes,2026-02-16,false,false
hodgesdiane,shellykelly,2026-03-24,false,true
qford,richardbarbara,2026-04-27,false,false
blackedgar,iholloway,2026-04-03,true,false
jonathanschwartz,ujones,2026-02-05,true,false
seanwebster,hreynolds,2026-02-07,false,false
melindaparker,mercerpatrick,2026-02-25,false,false
omarquez,ryan63,2026-02-05,true,false
kenneth00,georgeharrell,2026-04-15,true,true
johnmorales,brandonlee,2026-04-27,true,true
joshuadavis,urodriguez,2026-01-15,false,false
pateladam,tcrawford,2026-04-27,false,false
ccooper,hutchinsonlorraine,2026-01-01,true,true
brianbaird,jasonallen,2026-03-29,true,true
johnwise,brendalevine,2026-02-28,true,false
pughkylie,makayla31,2026-03-05,true,false
kaitlyn64,anthony50,2026-01-09,true,false
johnsonmatthew,cynthia49,2026-03-27,true,true
thart,dominiquevasquez,2026-03-19,true,false
bruiz,elizabethrogers,2026-04-28,true,false
vhodge,smithelizabeth,2026-04-16,true,true
hmoss,qgray,2026-01-07,true,false
emilyhamilton,nicolegardner,2026-02-17,true,false
dware,michaeljones,2026-03-16,true,false
carrillobrandi,rsavage,2026-03-10,true,true
bassdebra,elizabethburke,2026-04-22,true,false
salasjames,zturner,2026-02-20,true,true
collinsryan,hhawkins,2026-02-01,false,true
wodonnell,ptaylor,2026-03-02,true,true
tcrawford,gonzalezscott,2026-03-21,true,false
kevingarcia,djohnson,2026-01-22,true,true
rholloway,ltownsend,2026-01-05,false,true
vazquezkevin,andrewclayton,2026-04-20,true,false
ewhite,cassandragarcia,2026-04-18,true,true
brendan17,sandrathompson,2026-02-03,true,false
holtwilliam,gravesdavid,2026-02-10,false,true
msexton,danny51,2026-02-23,true,false
timothy81,samanthaterry,2026-04-24,true,true
tyler68,joannaguerrero,2026-02-20,false,true
jacob17,longtanner,2026-04-27,true,true
wchaney,michelestout,2026-02-06,false,true
yhooper,twright,2026-01-16,true,false
kgates,matthew08,2026-03-13,false,false
ellistravis,calderonstephanie,2026-01-13,true,true
rodneygallagher,larry13,2026-01-26,true,false
munozmelissa,ralph12,2026-04-01,false,true
rebeccajones,weaverterrance,2026-02-20,false,false
sgreen,sharpjames,2026-01-28,true,true
tylerschmidt,davidmontgomery,2026-03-09,true,false
michaelmills,alexandermcgee,2026-01-23,true,true
christinahoward,michaelcox,2026-02-09,true,false
vpowell,pthomas,2026-03-29,true,true
smartin,spencejeffrey,2026-01-14,false,true
james95,chenkylie,2026-02-22,false,true
joneslaura,richard99,2026-01-25,true,true
christinenguyen,cody17,2026-02-11,false,true
ptaylor,andersonwilliam,2026-04-19,false,false
brad76,darryllowe,2026-04-26,true,true
adurham,hopkinsalexander,2026-02-10,false,true
gonzalezjason,nicholasdixon,2026-02-14,false,false
garciajose,barrettamy,2026-02-16,true,true
travisjacobs,martinmichael,2026-02-06,true,false
hutchinsonlorraine,cmartin,2026-04-03,true,true
ibarrett,hhernandez,2026-03-10,true,false
tamara50,christopher01,2026-01-11,true,true
sandra50,wmartin,2026-02-18,false,false
smithjared,rgibbs,2026-04-09,false,true
allisonglenn,brandon42,2026-01-11,false,true
kaitlyn30,julia72,2026-04-11,true,true
snydertimothy,sjohnston,2026-02-12,true,false
christianmartinez,brittany83,2026-04-13,false,false
stevenfuller,afrost,2026-04-17,true,true
eclay,jlarson,2026-01-26,true,false
smclean,fernando07,2026-04-21,false,false
waremichael,todd35,2026-03-13,true,true
amandasmith,joanshelton,2026-04-19,true,true
kylegay,saundersjohn,2026-04-06,false,false
calderonstephanie,erik80,2026-03-29,true,false
cartertammy,darlene83,2026-03-08,false,true
leestephanie,timothy81,2026-03-16,true,true
vincent06,william84,2026-03-17,true,true
bgallegos,anneward,2026-03-21,true,true
pamela41,johnsonmiguel,2026-01-14,false,false
nmartin,raymondmichael,2026-04-22,false,true
ajoyce,kford,2026-04-21,false,true
brentstanley,patricia45,2026-01-08,false,true
ysoto,andrewsblake,2026-02-27,false,false
shamilton,ryanroberts,2026-01-17,false,true
erin11,jessica62,2026-04-10,false,true
jarvisjulia,urojas,2026-03-04,false,false
rosariokimberly,kevin48,2026-02-06,true,false
elizabethhernandez,kevin70,2026-02-12,false,false
michael69,rachelmanning,2026-02-25,false,true
tapiaveronica,woodabigail,2026-04-15,false,false
ewingnatalie,nathanweiss,2026-04-13,false,true
dmiller,simonnicholas,2026-03-24,false,true
evega,karinasmith,2026-03-14,false,true
robertssylvia,debra31,2026-01-11,true,false
richardwood,keith36,2026-04-28,false,false
rushheather,thomas94,2026-02-05,false,false
ymoore,chadnelson,2026-03-24,true,false
millermaurice,reneelewis,2026-03-23,true,false
joseph07,tlee,2026-01-14,true,false
rachel79,jeffreymelton,2026-02-15,false,false
munozcarl,turnercolton,2026-04-06,false,false
tstone,karinasmith,2026-03-24,false,true
victor36,allen84,2026-03-14,true,false
samanthawhite,nrose,2026-01-13,false,false
mark77,joseellis,2026-01-30,false,true
weberricky,russellpaul,2026-01-29,true,false
reneepope,rodriguezdouglas,2026-03-30,false,true
ericmurphy,alyssa76,2026-03-15,true,true
faulknerwilliam,kristenfoster,2026-01-07,true,false
lindsey25,amberhawkins,2026-03-15,false,false
ramseynathan,jwalker,2026-01-18,true,true
randy77,duarteisaiah,2026-03-23,false,true
amandasmith,heatherkey,2026-01-28,false,false
qcollins,frogers,2026-01-12,false,false
jeanettebaker,owilson,2026-02-28,true,false
elizabethtorres,jacob07,2026-02-13,false,false
mooredonald,daniel07,2026-02-13,true,false
shane49,jasonallen,2026-04-25,true,true
zacharylyons,donnasmith,2026-03-19,true,false
anneward,alisha30,2026-01-05,false,false
peterlara,rachel79,2026-03-08,false,false
alison80,jennifer41,2026-02-17,true,true
jasonshields,romanmckenzie,2026-02-02,false,true
chankaren,megan59,2026-04-13,false,true
yporter,deborahsteele,2026-03-02,true,false
licarrie,bernardwilliams,2026-04-23,false,false
wandakennedy,gonzalezcarmen,2026-04-07,true,false
kelly18,emilyvega,2026-04-20,false,false
ericduncan,angelacrosby,2026-01-26,false,false
dodsonjoshua,allenjose,2026-03-05,false,true
gmarsh,destinyjohnson,2026-02-26,false,false
egutierrez,daniel67,2026-02-15,true,false
mindy83,pdeleon,2026-04-22,false,false
sanchezsherry,denniskenneth,2026-01-25,false,false
schultzjoshua,christopher86,2026-02-19,false,false
unelson,mariatyler,2026-01-04,true,false
joseph81,johnmorales,2026-03-01,true,false
ikane,alexandria14,2026-02-05,true,true
tjohnson,jordandouglas,2026-01-01,true,false
christopher89,ellistravis,2026-02-23,true,true
johnsonrobert,ronalddurham,2026-02-11,false,false
qmosley,taylorlee,2026-01-14,true,true
ovalentine,carrillobrandi,2026-03-24,true,false
bterry,ohinton,2026-04-20,false,false
kellis,eddiepotter,2026-03-30,false,true
kennedylauren,rgibbs,2026-01-16,false,true
lrobinson,dylan87,2026-01-20,true,true
jvega,aaron90,2026-02-22,true,false
dsandoval,denise66,2026-02-28,true,true
uholt,william99,2026-02-24,true,false
krista67,allenjose,2026-02-05,false,true
marylester,brownantonio,2026-02-21,true,false
fclements,william71,2026-03-29,false,false
lukejenkins,barry17,2026-02-15,false,true
dchen,donald34,2026-02-06,false,true
allenjose,jeffrey39,2026-04-26,true,true
whitestacy,hutchinsonlorraine,2026-03-24,false,true
xwilliams,derrick66,2026-04-09,false,false
lindsey25,alison02,2026-03-07,false,true
eberry,riverastephanie,2026-02-18,false,true
bairdtyler,terrijohnson,2026-04-01,false,false
carlflores,zgonzalez,2026-02-04,false,false
robin53,stephenkoch,2026-02-17,false,true
gfrazier,williamcook,2026-01-03,false,true
danielsara,christopher86,2026-04-12,true,false
erik79,umoore,2026-03-30,true,true
jlee,fernandezjames,2026-01-18,true,false
meganmarquez,thomasronald,2026-01-31,true,true
thomas47,walkerjamie,2026-04-11,true,true
denise31,lopezkarl,2026-04-05,false,true
davismakayla,ewhite,2026-03-25,true,false
hutchinsonlorraine,hensleyjenna,2026-03-08,false,true
sean09,patricia91,2026-01-22,true,true
amber85,stoutleslie,2026-01-03,true,false
melissajackson,garyjohnson,2026-02-14,true,false
campbelljames,gchandler,2026-03-17,false,false
nielsenmelissa,iholloway,2026-03-12,true,false
dominiquevasquez,heather79,2026-01-17,false,false
stephanie32,michaeljones,2026-02-07,true,true
oroberts,vberger,2026-01-29,false,true
vcollins,johnmiller,2026-03-11,false,true
tayloredward,sullivankimberly,2026-03-01,false,false
karenmills,rsavage,2026-02-05,false,true
christopherdavis,sarahbrown,2026-03-28,false,false
amy70,kaitlyn64,2026-02-24,true,true
jamesmichael,sjohnston,2026-04-03,true,false
simpsonmadison,vmartinez,2026-02-12,true,true
lsalinas,derek06,2026-04-12,true,true
natasha64,madisonnelson,2026-03-25,true,true
sanchezmichelle,ashley00,2026-02-14,true,false
vargasmichael,annalynch,2026-02-07,false,false
larsoncrystal,brownkim,2026-03-25,false,false
tmiller,wlewis,2026-01-19,false,true
tromero,robinsonbriana,2026-01-24,true,true
pricestacey,kennedylauren,2026-01-29,true,false
melinda35,feliciaanderson,2026-02-10,true,false
bgeorge,salazarsean,2026-01-14,false,false
brentstanley,hansenmichael,2026-02-17,false,true
knightkaitlyn,zachary97,2026-01-25,true,true
stevenbowman,qmedina,2026-03-14,false,false
beckroberto,tjohnson,2026-03-14,true,false
zwalker,pwilliams,2026-01-02,true,true
vpowell,douglaslarson,2026-02-23,false,true
laura81,nrose,2026-04-04,false,true
erik80,john90,2026-02-13,false,false
klarsen,cruzandrea,2026-01-08,false,true
hodgesdiane,hortonmitchell,2026-03-18,false,true
perezkelli,mjohnson,2026-02-12,false,false
millerclaudia,kempmicheal,2026-03-22,true,false
karenmills,tlee,2026-01-10,true,true
taylor35,carlmiller,2026-02-12,false,true
ogriffith,amy70,2026-01-06,false,false
silvajames,feliciaanderson,2026-02-19,false,false
morganmario,jbrewer,2026-01-18,false,false
pmclaughlin,emilypeters,2026-02-22,false,false
brittney02,kimberlypetty,2026-03-01,true,true
murraygary,riveralydia,2026-03-02,true,true
sjohnson,bassdebra,2026-04-01,false,false
travis14,victor72,2026-03-04,false,true
mdavis,vflores,2026-02-23,true,false
donna32,mooredeanna,2026-01-07,false,true
vshaw,sarah99,2026-04-13,true,false
aeaton,carol43,2026-03-21,true,true
elizabethhernandez,abigail45,2026-04-10,true,true
zharris,megan59,2026-01-23,false,false
mstone,sharrell,2026-04-19,true,false
uholt,bradleyrandall,2026-02-23,true,true
ogriffith,laurenhodges,2026-02-22,true,true
stephenslisa,melaniejackson,2026-04-28,true,true
srose,scottvalerie,2026-03-01,true,false
rhatfield,jasmine28,2026-02-18,false,false
charles64,phylliswood,2026-03-13,false,false
thomas24,ireid,2026-03-12,true,true
dware,marcussullivan,2026-03-26,false,true
danny51,michelestout,2026-03-20,false,false
perezkelli,cruzrebecca,2026-01-09,false,false
ramirezjeffrey,iross,2026-03-08,true,false
jamesmatthew,nlowery,2026-01-30,false,true
tylerelizabeth,sharonhamilton,2026-01-31,true,true
theresaschaefer,kurtnelson,2026-01-13,true,false
john90,amberhawkins,2026-04-04,true,false
mcdowellrobert,ubaker,2026-03-04,true,false
ericksonevan,jeffreyberger,2026-03-03,true,true
rebeccajones,suzanne71,2026-04-21,true,false
jaredruiz,jwhitaker,2026-04-24,true,true
estephens,bterry,2026-04-08,false,true
nprice,rachelcollins,2026-02-25,true,true
john04,andrea48,2026-04-24,false,false
brandon42,fnicholson,2026-01-24,true,false
bernardwilliams,millermadeline,2026-04-04,false,false
petersondonna,lmoore,2026-03-24,false,true
karenmills,fweaver,2026-02-23,true,false
tabitha38,ulopez,2026-01-04,false,false
jeffreymelton,seanholmes,2026-03-02,false,false
dstone,denniskenneth,2026-04-06,false,true
whitemeagan,amyharrell,2026-04-02,false,false
laurenjones,kstokes,2026-01-14,false,false
jessica01,mejiaderek,2026-03-20,false,true
carsonadam,bethconway,2026-04-20,true,true
seanwebster,boydjoseph,2026-02-24,true,false
rachelward,leeelizabeth,2026-03-25,true,true
sean66,robin53,2026-01-12,false,true
omcgee,pgray,2026-03-06,true,false
jackson36,cmatthews,2026-03-01,false,true
charlesstrickland,lopezpeggy,2026-04-18,false,true
abrooks,gkerr,2026-01-02,false,false
kevinespinoza,jerrychavez,2026-02-12,true,false
omartin,qstephens,2026-03-22,true,false
iperry,ymartinez,2026-02-16,false,false
peter56,johnmurray,2026-01-19,true,true
qcollins,brooksjamie,2026-01-29,true,true
davisgeorge,jamessimmons,2026-03-09,true,true
